seq,post_id,track,day_offset,time_pt,platform,image_url,caption_x,caption_long,status
11,PM4,property_mgmt,11,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM4_11pm.png,"Not every after-hours call is an emergency. Some are. ProDesk AI takes the call, captures the address, callback number and what is wrong. Routine goes in the log for the morning; urgent texts whoever is on call, straight away. https://prodesk-ai.com #propertymanagement","Not every after-hours call is an emergency. Some are. Telling them apart is the whole skill.

ProDesk AI takes the call, captures the address, the callback number and what is actually wrong. Routine goes into the log for the morning. Urgent gets a text sent to whoever is on call, straight away.

You stop waking up for a dripping tap and stop sleeping through a flood.

prodesk-ai.com

- - -

唔係每個放工後嘅電話都係急事。有啲係。分得清,就係成件事嘅功夫。

ProDesk AI 會接聽,記低地址、回電號碼、同實際出咗咩事。普通嘅入返紀錄,聽朝先睇。緊急嘅,即刻 send 短訊俾當值嗰個。

滴水龍頭唔會嘈醒你,水浸亦都唔會瞓到天光先知。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #proptech #vancouverbusiness #bcbusiness",ready
12,RE4,realtor,12,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE4_9pm.png,"Buyers browse at night — that's when they email. By morning they've emailed four agents, and the one who replied first is showing them the place on Saturday. A reply drafted at 9:14pm is you, answering while you're asleep. https://prodesk-ai.com #realestateagent","Buyers browse at night. That is when they email.

By morning they have emailed four agents. The one who replied first is the one showing them the place on Saturday.

A reply drafted at 9:14pm is not a robot pretending to be you. It is you, answering while you are asleep.

prodesk-ai.com

- - -

買家夜晚先有時間睇樓盤。所以佢哋夜晚 email。

到第二朝,佢已經 email 咗四個經紀。第一個覆佢嗰個,就係星期六帶佢睇樓嗰個。

九點十四分草擬好嗰封覆,唔係一個機械人扮你。係你,喺你瞓緊嗰陣覆咗佢。

prodesk-ai.com

#realestateagent #realtorlife #vancouverrealestate #bcrealestate #realtortips #newrealtor",ready
13,R5,realtor_soi,13,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R5_draft_first.png,"The check-in engine runs each morning and prepares the messages that are due. By default it writes drafts — you read, edit, press send. Messages start from your own template; AI personalisation is a separate switch, off unless you turn it on. https://prodesk-ai.com/crm-soi #realtortips","The check-in engine runs each morning and prepares the messages that are due.

By default it writes drafts. You read them, you change what you want, you press send. Auto-send is a toggle you turn on yourself, when you trust it.

The messages start from your own template. AI personalisation is a separate switch — off unless you turn it on.

Nothing goes out in your name that you did not set up.

prodesk-ai.com/crm-soi

- - -

Check-in 引擎每朝行一次,準備好當日到期嗰啲訊息。

預設係寫 draft。你睇完、改你想改嘅、你自己㩒 send。Auto-send 係一個掣,信得過先自己開。

啲訊息由你自己嘅 template 出發。AI 個人化係另一個獨立開關 —— 你唔開就唔會用。

冇嘢會用你個名發出去,除非係你自己設定嘅。

prodesk-ai.com/crm-soi

#realtorlife #realestateagent #realestatecrm #realtortips #proptech #bcrealestate",ready
14,PM5,property_mgmt,14,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM5_network.png,"A property manager's contact list is not one list. Tenants, owners, trades, and everyone who applied and didn't get the unit. AI CRM & Network Builder keeps them in one place, tagged, fed from rental leads and answered calls. https://prodesk-ai.com/crm-network #proptech","A property manager's contact list is not one list. It is tenants, owners, trades, and everyone who applied and did not get the unit.

AI CRM & Network Builder keeps them in one place, tagged by who they are, fed automatically from rental leads and answered calls.

The plumber you used in March is findable in October.

prodesk-ai.com/crm-network

- - -

物業經理嘅聯絡人唔係一張名單。係租客、業主、判頭,加埋所有申請過但租唔到嗰批人。

AI CRM & Network Builder 將佢哋放喺同一個地方,按身分標籤,由出租查詢同接聽咗嘅電話自動流入。

三月用過嗰個水喉匠,十月搵返到。

prodesk-ai.com/crm-network

#propertymanagement #propertymanager #proptech #landlord #bcbusiness #realestatecrm",ready
15,RE5,realtor,15,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE5_open_house.png,"Open house Saturday, showings Sunday. That's when the enquiries come in, and exactly when you can't pick up. Calls answered, details captured, summary texted. Emails drafted and waiting. The weekend stops being the gap. https://prodesk-ai.com #realtorlife","Open house Saturday, showings Sunday. That is when the enquiries come in, and that is exactly when you cannot pick up.

Calls answered, details captured, summary texted. Emails drafted and waiting for you.

The weekend stops being the gap in your response time.

prodesk-ai.com

- - -

星期六開放參觀、星期日帶睇樓。查詢就係喺呢兩日入嚟,而呢兩日就係你最聽唔到電話嘅時候。

電話有人接、資料記低、summary send 到你手機。Email 草擬好等你。

週末唔再係你回覆時間入面嗰個窿。

prodesk-ai.com

#realtorlife #realestateagent #openhouse #vancouverrealestate #bcrealestate #realtortips",ready
16,R6,realtor_soi,16,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R6_urgency.png,"Two hundred contacts is not two hundred deals. Incoming leads are read for intent, given an urgency score and a short summary of what the person needs. The morning question stops being who do I call and starts being who moved up the list. https://prodesk-ai.com/crm-soi #realestateagent","Two hundred contacts is not two hundred deals. Most are not moving this year. A few are moving this month.

When a lead comes in, it is read for intent and given an urgency score, with a short summary of what the person actually needs. High-urgency contacts get counted on their own dashboard card.

So the morning question stops being ""who do I call today"" and starts being ""who moved up the list"".

prodesk-ai.com/crm-soi

- - -

兩百個聯絡人唔等於兩百單生意。大部分今年都唔會郁。得幾個係今個月要郁。

有 lead 入嚟嗰陣,系統會讀佢嘅意向、俾個 urgency 分數,再寫一句短 summary 講佢實際想要乜。High urgency 嗰批喺 dashboard 上有自己一張卡。

咁每朝嘅問題就唔再係「今日打俾邊個」,而係「邊個升咗上嚟」。

prodesk-ai.com/crm-soi

#realestateagent #newrealtor #realtorlife #realestatecrm #proptech #bcrealestate",ready
17,PM6,property_mgmt,17,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM6_the_record.png,"The owner emails in November asking what happened with unit four in June. Every call has a transcript and a recording, every email reply is on file, every maintenance report has a date and a name. Two minutes, not an afternoon. https://prodesk-ai.com #propertymanagement","The owner emails in November asking what happened with unit four in June.

Every call has a transcript and a recording. Every email reply is on file. Every maintenance report has a date and a name attached.

You answer in two minutes instead of an afternoon of scrolling.

prodesk-ai.com

- - -

十一月業主 email 問你,六月 4 號單位發生咗咩事。

每個電話都有文字紀錄同錄音。每封回覆都有存檔。每個維修報告都有日期同名字。

你兩分鐘答到,唔使成個下晝碌返轉頭搵。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #proptech #bcbusiness #vancouverbusiness",ready
18,RE6,realtor,18,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE6_logged.png,"Who rang, what they were after, the whole conversation, and a recording you can play back. Six months later, when you can't remember whether that buyer said two bedrooms or three, you don't have to remember. https://prodesk-ai.com #realestateagent","Who rang, what they were after, the whole conversation, and a recording you can play back.

Six months later, when you cannot remember whether that buyer said two bedrooms or three, you do not have to remember.

prodesk-ai.com

- - -

邊個打過嚟、佢想搵咩、成段對話,加埋一段可以㩒返嚟聽嘅錄音。

六個月後,當你記唔起嗰個買家講嘅係兩房定三房 —— 你唔需要記得。

prodesk-ai.com

#realestateagent #realtorlife #realtortips #realestatecrm #bcrealestate #proptech",ready
19,R7,realtor_soi,19,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R7_pipeline.png,Prospect. Active. Under contract. Closed. The pipeline sits across the top of the dashboard as one segmented bar — click a segment and the table filters to it. It answers the 11pm question: is anything actually moving? https://prodesk-ai.com/crm-soi #realtorlife,"Prospect. Active. Under contract. Closed.

The pipeline sits across the top of the dashboard as one segmented bar. Click a segment and the table filters to it.

It is a small thing that answers a question new agents ask themselves at 11pm: is anything actually moving, or does it just feel slow?

prodesk-ai.com/crm-soi

- - -

Prospect(潛在)· Active(跟緊)· Under contract(簽緊)· Closed(成交)。

成條 pipeline 就喺 dashboard 頂,一條分段橫棒。撳邊一段,下面張表就 filter 去嗰段。

好細嘅一樣嘢,但佢答到新經紀夜晚十一點會問自己嗰條問題:到底有冇嘢郁緊,定係只係覺得慢?

prodesk-ai.com/crm-soi

#newrealtor #realtorlife #realestateagent #realestatecrm #realtortips #bcrealestate",ready
20,PM7,property_mgmt,20,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM7_draft_pm.png,"Tenant correspondence is not casual writing — it gets quoted back at you. Draft mode is the default: ProDesk AI writes the reply, you read it, you press send. Auto-send is a switch you turn on per inbox, when you're ready. https://prodesk-ai.com #propertymanager","Tenant correspondence is not casual writing. It gets quoted back at you.

Draft mode is the default: ProDesk AI writes the reply, you read it, you press send. Auto-send is a switch you turn on per inbox, when you are ready.

Nothing leaves in your name that you did not approve.

prodesk-ai.com

- - -

同租客嘅書面往來唔係求其寫。將來會有人攞返出嚟引用。

預設係 Draft:ProDesk AI 寫好封覆,你睇完,你自己㩒 send。Auto-send 係逐個信箱嘅開關,你準備好先開。

冇嘢會用你個名發出去,除非你批准過。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #proptech #bcbusiness #realestatecrm",ready
21,RE7,realtor,21,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE7_review_timing.png,"The best moment to ask for a review is the day they get the keys — not three weeks later when the feeling has faded, and not by text at a random hour. The Google review request goes out at that point, once, worded properly. https://prodesk-ai.com #realtortips","The best moment to ask for a review is the day they get the keys. Not three weeks later when the feeling has faded, and not by text at a random hour.

The Google review request goes out at that point, once, worded properly.

prodesk-ai.com

- - -

問好評最好嘅時機,係佢攞到鎖匙嗰日。唔係三個星期之後啲感覺淡晒,亦都唔係求其一個時間 send 條短訊。

Google 好評邀請就喺嗰個時間點發出,一次,字眼企理。

prodesk-ai.com

#realtorlife #realestateagent #googlereviews #realtortips #bcrealestate #vancouverrealestate",ready
22,R8,realtor_soi,22,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R8_past_client.png,Move a contact to Closed and it is tagged a past client automatically. That tag matters more in year two than the commission did in year one. Closing the file is where the check-in cadence starts earning. https://prodesk-ai.com/crm-soi #sphereofinfluence,"Move a contact to Closed and it is tagged a past client automatically.

That tag matters more in year two than the commission did in year one. Past clients are the people who refer, who buy again, who answer when you call.

Closing the file is not the end of the relationship. It is the point where the check-in cadence starts earning.

prodesk-ai.com/crm-soi

- - -

將一個聯絡人轉去 Closed,佢就會自動標記做 past client。

呢個標籤喺第二年嘅價值,大過第一年嗰筆佣。舊客就係會介紹人俾你、會再買、會聽你電話嗰班人。

埋單唔係關係嘅終點。反而係由呢一刻開始,你嗰個 check-in 節奏先真係開始有回報。

prodesk-ai.com/crm-soi

#realtorlife #realestateagent #sphereofinfluence #realtortips #realestatecrm #bcrealestate",ready
23,PM8,property_mgmt,23,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM8_weekend.png,"Saturday. Nobody is in the office. The phone does not know that. Weekend calls are the ones most likely to be a real problem and most likely to reach nobody. Answered, logged, summarised, texted to you. Same on statutory holidays. https://prodesk-ai.com #landlord","Saturday. Nobody is in the office. The phone does not know that.

Weekend calls are the ones most likely to be a real problem — and the ones most likely to reach nobody.

Answered, logged, summarised, texted to you. Same on statutory holidays.

prodesk-ai.com

- - -

星期六。寫字樓冇人。個電話唔知道。

週末打嚟嘅電話,最大機會係真正嘅問題 —— 亦都係最大機會冇人接嗰啲。

有人接、有紀錄、有 summary、有短訊 send 俾你。公眾假期一樣。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #bcbusiness #vancouverbusiness #proptech",ready
24,RE8,realtor,24,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE8_your_inbox.png,"You already have too many logins. ProDesk AI connects to Gmail, Microsoft Outlook and Microsoft 365, and any mailbox on standard IMAP and SMTP. You don't move your email and you don't get a second address to check. https://prodesk-ai.com #realestateagent","You already have too many logins.

ProDesk AI connects to Gmail, Microsoft Outlook and Microsoft 365, and any mailbox that speaks standard IMAP and SMTP. You do not move your email anywhere, and you do not get a second address to check.

It works inside the inbox you already open every morning.

prodesk-ai.com

- - -

你已經有太多個 login。

ProDesk AI 接得到 Gmail、Microsoft Outlook 同 Microsoft 365,以及任何支援標準 IMAP／SMTP 嘅信箱。你唔使搬 email,亦都唔會多一個信箱要睇。

佢喺你每朝都會開嗰個收件箱入面做嘢。

prodesk-ai.com

#realestateagent #realtorlife #proptech #realtortips #bcrealestate #newrealtor",ready
25,R9,realtor_soi,25,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R9_autoflow.png,"A lead that lives in your inbox is not in your CRM. Leads captured by ProDesk AI flow into the CRM on their own — name, contact, the property they asked about, and what they said. No copying between tools. https://prodesk-ai.com/crm-soi #realestatecrm","A lead that lives in your inbox is not in your CRM.

Leads captured by ProDesk AI flow into the CRM on their own — name, contact, the property they asked about, and what they said. No copying between tools, no end-of-day catch-up that never happens.

The list stays current because keeping it current stopped being a task.

prodesk-ai.com/crm-soi

- - -

一個 lead 留喺你個 inbox 度,即係唔喺你個 CRM 度。

由 ProDesk AI 收到嘅 lead 會自己流入 CRM —— 名、聯絡方法、佢問邊個單位、佢講過乜。唔使喺兩個工具之間抄嚟抄去,亦都唔使夜晚補返啲永遠都補唔到嘅資料。

張名單保持到最新,係因為「保持最新」呢件事已經唔再係一件要做嘅嘢。

prodesk-ai.com/crm-soi

#realestatecrm #newrealtor #realtorlife #proptech #realestateagent #bcrealestate",ready
26,PM9,property_mgmt,26,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM9_review.png,"Nobody leaves a five-star review in the middle of a dispute. They might right after you fixed something fast. The Google review request goes out at the point the tenant is actually happy, not at random. Timing is most of it. https://prodesk-ai.com #proptech","Nobody leaves a five-star review for a landlord in the middle of a dispute. They might right after you fixed something fast.

The Google review request goes out at the point where the tenant is actually happy, not at random.

Timing is most of it.

prodesk-ai.com

- - -

冇人會喺爭執緊嗰陣俾五星評價個業主。但你啱啱好快手幫佢整好咗嘢,佢就可能會。

Google 好評邀請會喺租客真係滿意嗰個時間點發出,唔係亂咁發。

時機就係成件事嘅大半。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #googlereviews #bcbusiness #proptech",ready
27,RE9,realtor,27,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE9_not_a_hire.png,Most agents don't lose deals on negotiation. They lose them in the ninety minutes between an enquiry arriving and someone answering it. That gap isn't a skill problem and it isn't fixed by working later. https://prodesk-ai.com #realtorlife,"Most agents do not lose deals on negotiation. They lose them in the ninety minutes between an enquiry arriving and someone answering it.

That gap is not a skill problem and it is not fixed by working later. It is fixed by something answering while you are busy being good at the rest of the job.

prodesk-ai.com

- - -

大部分經紀唔係輸喺議價。係輸喺一個查詢入到嚟、到有人覆佢,中間嗰九十分鐘。

嗰個窿唔係能力問題,亦都唔係做夜啲就補得返。係要有嘢喺你忙緊做好其他嘢嗰陣,幫你覆咗佢。

prodesk-ai.com

#realtorlife #realestateagent #realtortips #newrealtor #bcrealestate #proptech",ready
28,R10,realtor_soi,28,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R10_what_you_have.png,"Six months in, this is what the work looks like on paper: a named list, a tag on each one, a next-touch date on every row, a written record of every call. That is the asset — and you keep it whichever sign goes on the lawn. https://prodesk-ai.com/crm-soi #newrealtor","Six months in, this is what the work looks like on paper:

A named list, not a vague sense of ""people I know.""
A tag on each one, so you can see the groups.
A next-touch date on every row.
A written record of every call and note.

That is the asset. It is what you own before you own a single listing — and it is the thing you keep no matter which brokerage sign goes on the lawn.

prodesk-ai.com/crm-soi

- - -

做咗六個月之後,啲嘢寫落紙上係咁樣:

一張有名有姓嘅名單,唔係一個「我識好多人」嘅感覺。
每個名有標籤,你睇得到有邊幾組人。
每一行都有下次要接觸嘅日期。
每一通電話、每一個 note 都有紀錄。

呢個就係資產。喺你有第一個 listing 之前,你已經擁有咗嘅嘢 —— 而且無論門口插邊間公司塊牌,佢都係你嘅。

prodesk-ai.com/crm-soi

#newrealtor #realtorlife #realestateagent #sphereofinfluence #realtortips #realestatecrm #bcrealestate",ready
29,PM10,property_mgmt,29,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM10_what_you_own.png,"Strip away the buildings and this is what a property management business actually is: every call answered and written down, every tenant email on file, every owner able to get a straight answer, every trade findable. The rest is doors. https://prodesk-ai.com #propertymanagement","Strip away the buildings and this is what a property management business actually is:

Every call answered and written down.
Every tenant email answered and on file.
Every owner able to get a straight answer about their unit.
Every trade you trust, findable.

That is the operation. The rest is doors.

prodesk-ai.com

- - -

除開啲樓,一盤物業管理生意真正係咩:

每個電話都有人接、有紀錄。
每封租客 email 都有覆、有存檔。
每個業主問起自己個單位,都有得到一個清楚答案。
每個你信得過嘅師傅,搵返到。

呢個就係盤生意。其餘嘅只係門口。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #proptech #bcbusiness #vancouverbusiness",ready
30,RE10,realtor,30,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE10_day_one.png,"The agents who look lucky in year three are usually the ones who kept a record in year one. Every call, every enquiry, every follow-up date, from the first week — not started later when it finally feels worth it. https://prodesk-ai.com/crm-soi #newrealtor","The agents who look lucky in year three are usually the ones who kept a record in year one.

Every call, every enquiry, every follow-up date, from the first week — not started later when it finally feels worth it.

By then the first two hundred conversations are gone.

prodesk-ai.com/crm-soi

- - -

第三年睇落好好彩嗰批經紀,通常係第一年就開始儲紀錄嗰批。

每個電話、每個查詢、每個 follow 日期,由第一個星期開始 —— 唔係等到覺得「值得做」先開始。

到嗰陣,頭兩百段對話已經冇咗。

prodesk-ai.com/crm-soi

#newrealtor #realtorlife #realestateagent #sphereofinfluence #realtortips #bcrealestate",ready
